	answer	answer_seg	qid	question	question_parsing
1146	1.累积【银行信用卡积分】的信用卡不论几张卡积分都合并在一起，积分永久有效，不会因卡片到期换卡、挂失换卡而减少。2.小MC卡、城市主题金卡系列累积的我行积分有效期为3年，以自然年计算，新增积分在第三年年底清零。3.航空联名卡消费里程及凯莱酒店集团联名卡积分有效期以合作方公布为准。4.他行卡用户在银行小M获取的奖励积分有效期为1年。	信用卡|积分|有效期|	1147	信用卡积分有效期	{'s': [], 'v': ['有效期'], 'a': ['信用卡', '积分'], 'o': [], 'f': []}
1147	我行会不定期发售一些专属或定向销售的理财产品，这类产品需要您尝试联系您的理财经理或者拨打99995咨询确认是否可以预留额度。【预留额度之后，原则上不购买则不需单独操作取消，但建议与理财经理联系取消预约，以免影响后续其他产品预约，也好把额度留给其他有需要的投资者，避免额度浪费。】	理财产品|怎样|预留|额度|	1148	理财产品怎样预留额度	{'s': ['理财产品'], 'v': ['预留'], 'a': [], 'o': ['额度'], 'f': []}
1148	个人版证书与手机银行没有直接联系，证书过期不影响手机银行的使用。	个人版|证书|过期|影响|使用|手机银行|吗|	1149	个人版证书过期影响使用手机银行吗	{'s': ['证书', '过期'], 'v': ['影响'], 'a': ['个人版', '手机'], 'o': ['使用', '银行'], 'f': []}
1149	尊尚白金分期卡最低信用额度6万元，我行将评估您的资信情况并核准具体额度。为方便您使用分期功能，我们将根据您的资信情况，核给您一定的尊尚白金分期卡额度，该额度与您名下的其他账户额度相互独立，一般情况下不影响各自卡片或账户的正常使用,您需要分别进行还款，如果您选择自动还款，则需要分别关联储蓄卡。	尊尚|白金|分期|卡|额度|	1150	尊尚白金分期卡额度	{'s': [], 'v': ['额度'], 'a': ['尊尚', '白金', '分期', '卡'], 'o': [], 'f': []}
1150	信用卡消费累积积分在消费入账日次日生效，您可通过人工客服查询每一笔交易积分情况。发生信用卡退款，将扣除该笔消费的积分。	信用卡|积分|入账|时效|	1151	信用卡积分入账时效	{'s': ['积分'], 'v': ['效'], 'a': ['信用卡', '入账', '时'], 'o': [], 'f': []}
1151	您可以登录银行信用卡网站即可轻松参与积分抽奖。	信用卡|积分|抽奖|活动|	1152	信用卡积分抽奖活动	{'s': [], 'v': ['活动'], 'a': ['信用卡', '积分', '抽奖'], 'o': [], 'f': []}
1152	预约的产品和正常购买的流程一样，您可以登录网上银行普通版或个人版后，点击横排菜单“投资管理”-“受托理财”-“受托理财首页”，在对应的产品后面点击“购买”根据提示操作。或者在“受托理财首页”右侧直接输入产品代码购买。【温馨提示：建议您在产品发售后尽快购买，如不能及时购买，请与理财经理联系确认。】	如何|购买|预约|理财产品|	1153	如何购买预约的理财产品	{'s': [], 'v': ['购买'], 'a': ['预约'], 'o': ['理财产品'], 'f': ['如何']}
1153	若您需要查询客户经理的联系电话，建议您致电您卡片的开户行核实，我行网点详细情况，了解。【温馨提示：①、一般我行金卡客户有低柜理财经理，如您是我行的铂金客户，可以直接拨打4008899995，进入贵宾专线人工查询，钻石客户请拨4006899995，私行客户请拨4006699995；②、专户一对多、私募等产品，请直接联系您的客户经理查询并了解。】	怎样|查询|客户经理|联系方式|	1154	怎样查询客户经理的联系方式	{'s': [], 'v': ['查询'], 'a': ['客户经理'], 'o': ['联系方式'], 'f': []}
1154	证书到期前3个月至到期后270天内，您可以操作证书更新，更新成功后证书有效期自更新之日起重新计算。①如果系统在登录个人版时自动提示更新证书，点击	个人银行|个人版|证书|更新|操作|流程|	1155	个人银行个人版证书更新的操作流程	{'s': ['证书'], 'v': ['流程'], 'a': ['个人', '银行', '个人版', '更新', '操作'], 'o': [], 'f': []}
1155	我行于2013年5月30日起已经停止维护手机银行51型“优KEY”，目前51型“优KEY”客户可以继续在个人网上银行个人版上使用51型“优KEY”，但在手机银行上将不再支持证书登录的方式。【其他型号的“优KEY”，均不可在手机银行上登录。】	51|型|UK|	1156	51型UK	{'s': [], 'v': ['UK'], 'a': ['51', '型'], 'o': [], 'f': []}
1156	个人版文件证书有效期是1年，移动证书有效期为2年，ukey硬件本身没有有效期，只要未损坏可以一直使用。您可以登录个人版，点击屏幕右上方“个人版管理”在“证书管理”下方选择“证书查询”可以查看证书的有效截止日期。	个人银行|个人版|证书|查询|操作|流程|	1157	个人银行个人版证书查询的操作流程	{'s': ['证书'], 'v': ['流程'], 'a': ['个人', '银行', '个人版', '查询', '操作'], 'o': [], 'f': []}
1157	银行现在手机银行只有卡号密码登陆方式，无证书登陆方式，也没有了实物证书验证的功能。	手机银行|有|使用|介质|证书|登陆|吗|	1158	手机银行有使用介质证书登陆的吗	{'s': ['银行', '证书'], 'v': ['有'], 'a': ['手机', '介质'], 'o': ['使用'], 'f': []}
1158	凡成功申领银行尊尚白金分期信用卡的持卡人，享受首年免年费优惠，主卡年度消费满3万元，即可减免该主卡次年800元年费；附属卡年度消费满3万元，即可减免该附属卡次年300元年费，前2张附属卡终身免年费。	尊尚|白金|分期|卡|年费|	1159	尊尚白金分期卡年费	{'s': [], 'v': ['年费'], 'a': ['尊尚', '白金', '分期', '卡'], 'o': [], 'f': []}
1159	储蓄卡普通版支付限额相关规定如下:①可自行设置两个限额，每日支付最高限额5000元，即24小时内支付的最大金额；累计支付限额最高10000元。②针对第三方平台及保护期内单日限额是500元，手机支付不受第三方影响，若是取消卡号+支付密码支付使用取款密码支付则每天可最高5000元。小M猜您还需要了解下列内容	卡号|密码|支付|额度|	1160	卡号密码支付额度	{'s': ['密码'], 'v': ['支付'], 'a': ['卡号', '额'], 'o': ['度'], 'f': []}
1160	储蓄卡个人版支付额度可设置为无限额。登录个人版后，点击横排菜单“储蓄卡→网上支付→个人版支付→功能申请”，点击“修改”选项操作限额修改。	个人版|支付|额度|	1161	个人版支付额度	{'s': ['个人版'], 'v': ['支付'], 'a': ['额'], 'o': ['度'], 'f': []}
1161	支付宝快捷支付：我行授权的支付宝快捷单笔/单日最高限额为5万元，若您通过网银查询的限额为5万元，但通过支付宝无法完成支付时，请您联系支付宝客服95188，查询所购物品或卖家是否有二级限额（即支付宝给卖家或客户的限额）。温馨提示：支付宝一般针对不同的客户、不同的卖家会给出不同的限额，具体限额需客户联系支付宝咨询。	淘宝|支付宝|快捷|支付|	1162	淘宝支付宝快捷支付	{'s': ['支付宝'], 'v': ['支付'], 'a': ['淘宝'], 'o': [], 'f': []}
1162	M财付通快捷支付限额5万元/笔/日；微信支付(含微信理财通)均通过M财付通快捷支付实现的，与M财付通快捷支付共用一个额度。该限额无法通过银行修改，若有任何疑问，可联系M财付通客服0755-86013860。	腾讯|M财付通|快捷|支付|	1163	腾讯M财付通快捷支付	{'s': ['财付通'], 'v': ['支付'], 'a': ['腾讯', 'M'], 'o': [], 'f': []}
1163	1、“交易日”指信用卡持卡人实际消费、存取现、转账交易或与相关机构实际发生交易的日期。2、“记账日”指发卡机构在持卡人发生交易后将交易款项记入其信用卡账户，或根据规定将费用、利息等记入其信用卡账户的日期。3、“账单日”之后记账的交易归属下期账单，为“未出账单”的交易，可在网上银行“账户管理”栏目内查询。	信用卡|交易日|与|入账|日|介绍|	1164	信用卡交易日与入账日介绍	{'s': ['信用卡'], 'v': ['交易'], 'a': [], 'o': [], 'f': []}
1164	信用卡积分兑换，包括在信用卡网站或银行小M礼品兑换或者店面积分兑换。	积分|兑换|	1165	积分兑换	{'s': ['积分'], 'v': ['兑换'], 'a': [], 'o': [], 'f': []}
1165	理财产品额度如已预留，可全额购买，也可部分购买，但需符合最低购买要求。【温馨提示】如部分购买，建议您联系理财经理，以便把额度留给其他有需要的客户，也便于自己后续预约。	预约额度|理财产品|能否|部分|购买|	1166	预约额度的理财产品能否部分购买	{'s': ['部分'], 'v': ['购买'], 'a': ['预约', '额度', '理财产品', '能否'], 'o': [], 'f': []}
1166	如需变更理财经理，还请联系开户行确认，我行网点详细情况请→[点此进入]。【温馨提示】一般我行金卡客户有低柜理财经理，铂金客户有贵宾理财经理，钻石及私人银行客户有专属的私钻客户经理。	变更|理财|经理|	1167	变更理财经理	{'s': [], 'v': ['变更'], 'a': ['理财'], 'o': ['经理'], 'f': []}
1167	您可以登录个人版，点击屏幕右上方“个人版管理”，在“系统管理”下方选择“日志查询”，可查询个人版登录、交易操作、功能操作等情况（不包含普通版渠道），确定查询时间段，点查询即可。可查询一年以内的交易操作，查询起始日期和结束日期之间不能超过90天。	个人银行|个人版|日志|查询|操作|流程|	1168	个人银行个人版日志查询操作流程	{'s': ['日志'], 'v': ['查询'], 'a': ['个人', '银行', '个人版', '操作'], 'o': ['流程'], 'f': []}
1168	您可以登录个人版，点击屏幕右上方“个人版管理”在“证书管理”下方选择“证书备份”根据提示操作。（出于安全考虑建议将证书备份到U盘等可移动存储设备中）	个人银行|个人版|证书|备份|操作|流程|	1169	个人银行个人版证书备份的操作流程	{'s': [], 'v': ['流程'], 'a': ['个人', '银行', '个人版', '证书', '备份', '操作'], 'o': [], 'f': []}
1169	（证书复制）您好，请您登录个人版后选择界面右上角的“设置”选项，通过打开的界面请选择“证书管理”-“证书复制”菜单操作个人版证书复制。复制后的，到时通过登陆界面点击使用文件证书，然后输入密码登陆即可	已申请|移动|证书|用户|如何|使用|文件|证书|登录|	1170	已申请移动证书用户，如何使用文件证书登录	{'s': [], 'v': ['申请'], 'a': ['移动', '证书', '文件'], 'o': ['用户', '证书'], 'f': []}
1170	登录个人版，点击“储蓄卡→账户管理→卡片管理→开户行信息查询”操作。	储蓄卡|开户行|信息|查询|个人版|	1171	储蓄卡开户行信息查询（个人版）	{'s': ['信息'], 'v': ['查询'], 'a': ['储蓄卡', '开户行', '个人版'], 'o': [], 'f': []}
1171	M支付限额修改成功后，立即生效。	M支付|限额|修改|	1172	M支付限额修改	{'s': [], 'v': ['修改'], 'a': ['M', '支付'], 'o': ['限额'], 'f': []}
1172	如需查询储蓄卡签约绑定的M支付协议情况，如支付宝、M财付通、基金类协议，可通过以下渠道查询:	快捷|支付|限额|查询|	1173	快捷支付限额查询	{'s': [], 'v': ['支付'], 'a': [], 'o': ['限额'], 'f': []}
1173	手机支付最高5000元/日，若超过请使用个人版(ukey)支付，可无限额付款。累计限额为最高10000元，若超过可通过下面渠道重新恢复成10000元。	手机|支付|额度|修改|	1174	手机支付额度修改	{'s': [], 'v': ['修改'], 'a': ['手机', '支付'], 'o': ['额度'], 'f': []}
1174	储蓄卡个人版支付额度可设置为无限额。登录个人版后，点击横排菜单“储蓄卡→网上支付→个人版支付→功能申请”，点击“修改”选项操作限额修改。	个人版|支付|额度|修改|	1175	个人版支付额度修改	{'s': [], 'v': ['修改'], 'a': ['个人版', '支付'], 'o': ['额度'], 'f': []}
1175	普通版网上支付额度包括:“网上支付每日限额”最高5000元、“网上支付额度”最高10000元，可通过普通版或个人版修改。若当日支付金额超过5000元，请申请个人版支付。【温馨提示】通过第三方支付(如支付宝、M财付通、快钱等)普通版网上支付限额，单笔/单日最高500元，手机支付不受该影响。	普通版|支付|限额|修改|	1176	普通版支付限额修改	{'s': ['限额'], 'v': ['修改'], 'a': ['普通版', '支付'], 'o': [], 'f': []}
1176	您可以登陆信用卡银行小M，点击“我的”-“积分”-“积分兑换”来挑选积分兑换的物品。	银行|小M|积分|兑换|	1177	银行小M积分兑换	{'s': ['积分'], 'v': ['兑换'], 'a': ['银行', '小', 'M'], 'o': [], 'f': []}
1177	您可在信用卡网站积分计划栏目兑换积分礼品、参加积分抽奖、抵扣信用卡年费(无需开通网银)。	网站|礼品|积分|兑换|	1178	网站礼品积分兑换	{'s': ['积分'], 'v': ['兑换'], 'a': ['网站', '礼品'], 'o': [], 'f': []}
1178	1、在积分兑换店面POS机查询积分，使用信用卡查询密码。2、店面积分兑换操作无需密码。3、积分+金额店面兑换，使用信用卡的交易密码，如未设置则无需密码。【温馨提示】信用卡可在星巴克、麦当劳、DQ等众多知名商户店面兑换商品、抵扣消费。点击这里，了解详情并可查看合作商户详情	信用卡|积分|店面|兑换|	1179	信用卡积分店面兑换	{'s': ['店面'], 'v': ['兑换'], 'a': ['信用卡', '积分'], 'o': [], 'f': []}
1179	登录手机银行后，界面底部点击“我的”，然后点击“全部”，找到“理财”并点击“我的持仓”-“我的理财产品”-“已预留额度”。	查询|预约|理财产品|个人版|	1180	查询预约的理财产品(个人版)	{'s': [], 'v': ['查询'], 'a': ['个人版'], 'o': ['理财产品'], 'f': []}
1180	请点此打开普通版，登录后点击“投资管理→受托理财→购买理财产品”，在“我的预约”中查看。【温馨提示】若没有查询到产品预约信息，可尝试购买，如购买失败，请联系理财经理确认额度是否已划好。	查询|预约|理财产品|普通版|	1181	查询预约的理财产品(普通版)	{'s': [], 'v': ['查询'], 'a': ['普通版'], 'o': ['理财产品'], 'f': []}
1181	①自动语音:99995→1自动语音服务→3证券外汇及投资业务→6受托理财→4额度信息查询，根据提示操作；②电话人工:99995→2人工服务→1个人银行业务→3证券基金业务，进入人工服务。【温馨提示】人工服务时间:全年8:00-18:00	查询|预约|理财产品|电话银行|	1182	查询预约的理财产品(电话银行)	{'s': [], 'v': ['查询'], 'a': ['电话银行'], 'o': ['理财产品'], 'f': []}
1182	登录手机银行后，界面底部点击“我的”，然后点击“全部”，找到“理财”并点击“我的持仓”-“我的理财产品”-“已预留额度”。【温馨提示】若没有查询到产品预约信息，可尝试购买，如购买失败，请联系理财经理确认额度是否已划好。	查询|预约|理财产品|手机银行|	1183	查询预约的理财产品(手机银行)	{'s': [], 'v': ['查询'], 'a': ['手机银行'], 'o': ['理财产品'], 'f': []}
1183	在证书备份的过程中，需设置至少5个安全问题，进入界面在下拉框中选择项目设置问题，在右边自行输入答案，再点“增加”，反复操作，设置保护问题和答案（请您牢记，以后证书恢复的时候，系统会随机抽取一个问题，回答正确，证书才可以恢复成功）。	证书|备份|如何|设置|保护|问题|	1184	证书备份如何设置保护问题	{'s': ['备份'], 'v': ['设置'], 'a': ['证书', '保护'], 'o': ['问题'], 'f': []}
1184	证书恢复要求之前已有有效的证书备份文件，并且当前使用的电脑上，没有该用户的个人版文件证书。如果符合此情况，您可在个人版“文件证书”登录界面选择“证书恢复”服务恢复个人版的使用。【7.0版个人版，请点击“证书登录”-“系统设置”-“文件证书”-“证书恢复”进行操作】若没有备份证书，则需要本人带储蓄卡和开户证件到任一银行网点重新申请个人版，目前只能申请移动证书。	证书|恢复|条件|及|操作|流程|	1185	证书恢复的条件及操作流程	{'s': ['证书'], 'v': ['条件'], 'a': ['恢复', '操作'], 'o': [], 'f': []}
1185	请点此打开网上银行普通版，输入卡号、查询密码、附加码登录，点击横排菜单“网上支付”-“M支付/快捷协议”-“协议查询”-“限额修改”。	普通版|修改|M支付|限额|	1186	普通版修改M支付限额	{'s': ['普通版', 'M'], 'v': ['修改'], 'a': [], 'o': ['限额'], 'f': []}
1186	登录个人版，选择“储蓄卡→网上支付→M支付/快捷协议→协议查询→限额修改”，可修改M支付限额。	个人版|修改|M支付|限额|	1187	个人版修改M支付限额	{'s': ['个人版', 'M'], 'v': ['修改'], 'a': [], 'o': ['限额'], 'f': []}
1187	登录手机银行后，点击“我的”-“银行卡”，选择已签M支付协议的银行卡，点击“支付管理”-“第三方授权支付”进入对应的M支付协议修改限额。	手机银行|修改|M支付|限额|	1188	手机银行修改M支付限额	{'s': ['银行', 'M'], 'v': ['修改'], 'a': ['手机'], 'o': ['限额'], 'f': []}
1188	请点此打开网上银行普通版，输入卡号、查询密码、附加码登录，选择上方横排菜单“网上支付”-“M支付”-“协议查询”，请查看已签约的M支付协议信息。	M支付|协议|查询|流程|普通版|	1189	M支付协议查询流程(普通版)	{'s': ['M'], 'v': ['支付'], 'a': ['查询', '普通版'], 'o': ['协议', '流程'], 'f': []}
1189	请登录个人版，选择上方横排菜单“网上支付”-“M支付”-“协议查询”，请查看已签约的M支付协议信息。7.0个人版请您登录后点击横排菜单“储蓄卡”-“网上支付”-“M支付”-“协议查询”选项查看。	M支付|协议|查询|流程|个人版|	1190	M支付协议查询流程(个人版)	{'s': ['M'], 'v': ['支付'], 'a': ['查询', '个人版'], 'o': ['协议', '流程'], 'f': []}
1190	登录手机银行，选择“我的→银行卡(一网通登陆请选择对应卡号)→支付管理→第三方授权支付”查看已签约的M支付协议信息。	M支付|协议|查询|流程|手机银行|	1191	M支付协议查询流程(手机银行)	{'s': ['M'], 'v': ['支付'], 'a': ['查询', '手机银行'], 'o': ['协议', '流程'], 'f': []}
1191	请您本人携带开户证件、储蓄卡到全行任一网点办理修改网上支付限额，不可代办。	修改|手机|支付|限额|柜台|	1192	修改手机支付限额（柜台）	{'s': ['手机'], 'v': ['修改'], 'a': ['柜台'], 'o': ['限额'], 'f': []}
1192	请登录个人版，点击“储蓄卡”→“网上支付”→“普通版支付”→“额度管理”。【温馨提示】该页面有两个额度，“网上支付每日限额”最高5000元，“网上支付额度”最高10000元，请在当前页面分别设置两个额度即可。	修改|手机|支付|限额|专业|	1193	修改手机支付限额（专业）	{'s': ['手机'], 'v': ['修改'], 'a': ['专业'], 'o': ['限额'], 'f': []}
1193	登陆普通版，点击横排菜单“网上支付”→“普通版支付”→“支付密码支付”。【温馨提示】“网上支付每日限额”最高5000元，“网上支付额度”最高10000元，请在当前页面分别设置两个额度即可。	修改|手机|支付|限额|大众|	1194	修改手机支付限额（大众）	{'s': ['手机'], 'v': ['修改'], 'a': ['大众'], 'o': ['限额'], 'f': []}
1194	手机银行登录后，界面底部点击“我的”→“银行卡”，选择其中一张进入，点击“支付管理”-“卡号密码支付”，修改“每日限额”和“支付可用额度”。【温馨提示】网上支付每日限额”最高5000元，“网上支付额度”最高10000元。	修改|手机|支付|限额|手机银行|	1195	修改手机支付限额（手机银行）	{'s': ['手机'], 'v': ['修改'], 'a': ['手机银行'], 'o': ['限额'], 'f': []}
1195	请您登录信用卡网上银行，点击横排菜单“网上支付”-“网上支付额度设置”设置支付额度或取消支付额度，页面上会显示您可设置的最大额度(一般是您的信用额度)，额度设置后实时生效，同时，不同支付商户的支付限额会有所不同，可以在支付时查看该网站是否有额度限制。【温馨提示】①您名下所有信用卡共享一个网上支付限额，限额不因还款而恢复，若限额不足请在网上银行重新设置；②个人版支付、快捷支付和境外网站的网上支付，不受“网上支付限额”限制。	信用卡|网上支付|额度|修改|	1196	信用卡网上支付额度修改	{'s': [], 'v': ['修改'], 'a': ['信用卡', '网上支付'], 'o': ['额度'], 'f': []}
1196	打开普通版登录:①点击“网上支付→网上支付首页→网上支付限额修改”。②点击“网上支付→普通版支付→“支付密码支付→限额设置”。	卡号|密码|支付|额度|修改|普通版|	1197	卡号密码支付额度修改(普通版)	{'s': [], 'v': ['修改'], 'a': ['卡号', '密码', '支付', '普通版'], 'o': ['额度'], 'f': []}
1197	请登录个人版，“储蓄卡→网上支付→普通版支付→支付密码支付→限额设置→支付限额修改”，可修网上每日支付限额、网上支付累计额度。请→[点此进入]操作指导界面。若单日支付限额超过5000元，请申请“个人版支付”可设置为无限额。	卡号|密码|支付|额度|修改|个人版|	1198	卡号密码支付额度修改(个人版)	{'s': [], 'v': ['修改'], 'a': ['卡号', '密码', '支付', '个人版'], 'o': ['额度'], 'f': []}
1198	“银行小M”手机客户端，是专为信用卡用户发布的移动互联产品，可关联主卡或者附属卡(暂不支持储蓄卡登录)。包含手机钱包、缤纷优惠(餐饮特惠、积分兑换、掌上影院)、便利生活(手机充值、生活缴费、手机彩票、机票预订、交通罚款)、用卡服务(账单还款、推荐办卡、申请进度、寄送查询、我要开卡、用卡指南)等多个功能模块，为您提供便捷、实惠、安全的全新“拇指生活体验”!【注】手机银行app渠道支持信用卡卡号或一网通用户登陆。目前支持iPhone版本和Android版本。请→[点此进入]了解详情	下载|银行|小M|	1199	下载银行小M	{'s': [], 'v': ['下载'], 'a': ['银行', '小'], 'o': ['M'], 'f': []}
1199	1.用积分兑换的商品无法开具发票，积分抵扣消费时，抵扣部分无法开具发票。2.信用卡积分产品颜色、尺寸、数量等具体信息以网站公布为准，积分不足无法兑换，积分兑换礼品我行免费为您寄送至您所留地址。3.附属卡的银行积分归属主卡人账户，附属卡无法积分兑换。4.航空联名卡的消费里程兑换、凯莱联名卡积分兑换，须在合作方网站等渠道操作。	信用卡|积分|兑换|注意事项|	1200	信用卡积分兑换注意事项	{'s': ['积分'], 'v': ['兑换'], 'a': ['信用卡'], 'o': ['注意事项'], 'f': []}
1200	基金定投计划的查询：请您登录网银个人版/普通版后，点击横排菜单“投资管理”-“基金(银基通)”-“开放式基金”-“智能定投”-“智能定投查询”进行查看。	基金|定投|计划|查询|操作|流程|	1201	基金定投计划查询的操作流程	{'s': ['计划'], 'v': ['流程'], 'a': ['基金', '定投', '查询', '操作'], 'o': [], 'f': []}
1201	电子工资单查询操作流程：您可以进入点击右侧“个人银行普通版”，输入卡号、查询密码登录，点击横排“账户管理”-“更多查询”-“电子工资单”操作查询。	电子|工资单|查询|操作|流程|普通版|	1202	电子工资单查询操作流程（普通版）	{'s': ['工资单'], 'v': ['查询'], 'a': ['电子', '操作', '普通版'], 'o': ['流程'], 'f': []}
1202	证书恢复时的安全保护问题以及答案，是您第一次做证书备份时自行设置的，做证书恢复时系统会从您设置的5个问题中随机抽取一个提问(如果这个答案不能回答正确，系统会判定为风险操作，提问的问题将不会变更。如果回答正确，在下一次恢复时，则会重新抽取一个新的问题让您回答)，请您回忆一下【请注意：若答案回答错误超过5次，将被系统锁定，需要零点后才能再次操作；若获取验证码次数超过5次仍然没有恢复成功，将被系统锁定，需要24小时后才能再次操作】。若忘记答案将无法恢复，需要本人带储蓄卡和开户证件到任一银行网点重新申请个人版【注：目前只能申请移动证书】	证书|恢复|时|安全|保护|问题|	1203	证书恢复时的安全保护问题	{'s': ['证书'], 'v': ['问题'], 'a': ['恢复', '时', '安全', '保护'], 'o': [], 'f': []}
1203	证书恢复过程中，第一步，系统会要求设置“用户密码”，这是自己设置一个新的登录密码，即恢复前与恢复后，是可以使用不同的用户密码登录个人版的。下一步，系统需要验证“证书备份的密码”，该密码是以前作证书备份时登录个人版使用的6-16位，数字+字母组合的用户密码。比如您使用密码A登录个人版做的证书备份，那证书备份密码就是A。如果忘记证书备份密码，无法恢复证书，此情况需要您本人带开户证件和储蓄卡到银行任一网点重新申请个人版。【注：目前只能申请移动证书】	证书|恢复|密码|	1204	证书恢复的密码	{'s': ['证书'], 'v': ['密码'], 'a': ['恢复'], 'o': [], 'f': []}
1204	快捷支付的限额是银行和商户共同设置的，商户会在银行给出的限额基础上再根据自身情况进行控制，具体限额以最终商户公布的限额为准，无笔数限制。大部分商户限额:请点击此处查看	修改|快捷|支付|限额|	1205	修改快捷支付限额	{'s': [], 'v': ['修改'], 'a': [], 'o': ['限额'], 'f': []}
1205	为降低网上交易风险，保障客户的用卡权益，我们对不同的网上商户进行了个性化的动态管理，目的在于在保证信用卡网上支付便捷性的同时兼顾用卡安全。不同支付商户的支付限额会有所不同，可以在支付时查看该网站是否有额度限制。	信用卡|网站|支付|限额|	1206	信用卡网站支付限额	{'s': ['网站'], 'v': ['支付'], 'a': ['信用卡'], 'o': ['限额'], 'f': []}
1206	路径一:登录个人版，点击“信用卡→关联信用卡”，输入查询密码，按提示操作；路径二:登录个人版，点击上方中间“设置→关联卡管理→信用卡”，选择需要关联的信用卡“立即关联”，按提示操作。【温馨提示】】①信用卡附属卡无法关联，个人偿债商务卡可以关联；②信用卡无法单独关联到个人版。若您有储蓄卡，请用储蓄卡申请个人版后再关联。	关联|信用卡|个人版|	1207	关联信用卡(个人版)	{'s': [], 'v': ['关联'], 'a': ['个人版'], 'o': ['信用卡'], 'f': []}
1207	登录个人版→储蓄卡→功能申请→网上支付→个人版网上支付→管理，选择对应卡号根据提示开通。点击→[个人版支付开通指引]。【温馨提示】支付时请选“个人版支付”。	申请|个人版|网上支付|功能|	1208	申请个人版网上支付功能	{'s': [], 'v': ['申请'], 'a': ['个人版', '网上支付'], 'o': ['功能'], 'f': []}
1208	基金定投计划修改：请登录网上银行后选择上方第一行“投资管理”-“基金(银基通)”-“开放式基金”-“智能定投”-“智能定投修改”进行操作。	基金|定投|计划|修改|操作|流程|	1209	基金定投计划修改的操作流程	{'s': ['计划'], 'v': ['流程'], 'a': ['基金', '定投', '修改', '操作'], 'o': [], 'f': []}
1209	电子工资单查询操作流程：您可以登录个人版，点击横排“账户管理”-“电子工资单”操作查询。	电子|工资单|查询|操作|流程|个人版|	1210	电子工资单查询操作流程（个人版）	{'s': ['工资单'], 'v': ['查询'], 'a': ['电子', '操作', '个人版'], 'o': ['流程'], 'f': []}
1210	电子工资单无法查询的原因有如下几点：1、企业未上传；2、账号户名有误，需联系企业经办人核对信息后，重新上传；3、企业删除已上传的工资单信息；4、卡片升级（如：客户普卡升级金卡，工资单上传普卡卡号，金卡可查询到工资到账，但是无法通过金卡查询工资单记录）。	电子|工资单|查询|不|成功|原因|	1211	电子工资单查询不成功的原因	{'s': ['工资单'], 'v': ['原因'], 'a': ['电子', '查询'], 'o': [], 'f': []}
1211	证书恢复后登录提示“用户名或密码错”，一般是由于个人版登录密码输入错误。请您在登录界面选择“删除用户”，然后重新恢复一次证书，恢复的过程中设置一个新的登录密码。	证书|恢复|后|登录|提示|用户名|或|密码|错|	1212	证书恢复后登录提示“用户名或密码错”	{'s': ['证书', '用户名'], 'v': ['登录'], 'a': ['恢复'], 'o': ['错'], 'f': []}
1212	支付宝卡通限额提升有以下两种方法:①请点此打开网上银行普通版，输入卡号、查询密码、附加码登录，点击横排菜单“网上支付”-“M支付”，在“协议查询”点击“限额修改”，最高可以修改为5万元/天。②若是有申请个人版，请您登陆个人版点击横排菜单菜单“网上支付”-“M支付”-“协议查询”修改最高可以是5万元/天。	如何|提高|支付宝|卡通|限额|	1213	如何提高支付宝卡通限额	{'s': [], 'v': ['提高'], 'a': ['支付宝', '卡通'], 'o': ['限额'], 'f': ['如何']}
1213	开通支付功能后，支付流程如下:在商户的网页上选择要“购买”的物品，然后会有链接要求选择支付的银行，选择“银行”后会链接到选择支付方式的界面，银行提供“个人版支付”、“卡号密码支付”和“手机支付”三种支付方式，选择“卡号密码”后按照提示完成交易。请→[点此进入]操作指导界面。	储蓄卡|卡号|密码|支付|流程|	1214	储蓄卡卡号密码支付流程	{'s': ['密码'], 'v': ['支付'], 'a': ['储蓄卡', '卡号'], 'o': ['流程'], 'f': []}
1214	我行提供的“信用卡快捷支付”业务分为大额快捷支付与小额快捷支付两种模式，小额快捷支付单笔交易金额必须小于等于人民币500元，大额快捷支付单笔交易金额可以大于人民币500元(单笔交易上限视合作方而定)。支付宝、M财付通会在持卡人进行快捷支付时提示限额。	信用卡|快捷|支付|限额|	1215	信用卡快捷支付的限额	{'s': ['信用卡'], 'v': ['限额'], 'a': ['支付'], 'o': [], 'f': []}
1215	基金智能定投申请，登录网银普通版/个人版后：①、点击横排菜单“投资管理”-“基金(银基通)”-“开放式基金”-“智能定投”-“智能定投申请”，再选择基金公司和产品，点“申请智能定投”操作；②、在“投资管理”-“基金(银基通)”-“开放式基金”-“基金首页”，再点击“基金产品”，可以看到我行代销的基金列表，在您需要购买的基金前面点击“定投”根据提示操作即可。【温馨提示：定投最低金额一般300元起，具体以各基金公司公告为准。】	基金|定投|计划|申请|操作|流程|	1216	基金定投计划申请的操作流程	{'s': ['计划'], 'v': ['流程'], 'a': ['基金', '定投', '申请', '操作'], 'o': [], 'f': []}
1216	登录普通版，点击横排菜单“投资管理”-“基金”-“我的基金”-“基金持仓”，点击基金简称，在打开的页面中点击“基金转换”。登陆个人版，点击横排菜单“投资管理”-“基金”-“基金交易”-“基金转换”进行操作。【温馨提示】①若同时办理了智能定投，请先终止定投计划，待转换成功后，再开通新基金的智能定投；②办理基金转换后，可在当日15:00前办理撤消操作。	基金|转换|办理|流程|	1217	基金转换的办理流程	{'s': ['基金'], 'v': ['办理'], 'a': ['转换'], 'o': ['流程'], 'f': []}
